F_H,L_R,date_imaged,family_num,indv_num,sex,percent_cover_color,color_scale_area,background_area,wing_area
hind,right,2015xii22,164,0409,F,9.847656736450306,7.117,27.729,"72.271
"
hind,right,2015xii23,164,0420,M,11.344178682023905,8.096,28.633,"71.367
"
hind,right,2015xii23,164,0421,F,12.144857090066656,8.545,29.641,"70.35900000000001
"
hind,right,2015xii23,164,0422,F,27.6018738006547,19.562,29.128,"70.872
"
hind,right,2015xii23,164,0425,M,23.92056356175511,17.08,28.597,"71.40299999999999
"
hind,right,2015xii23,164,0430,F,25.7082104396735,18.74,27.105,"72.895
"
hind,right,2015xii23,164,0437,F,22.39422359586486,16.81,24.936,"75.064
"
hind,right,2015xii23,164,0441,M,14.46054017132937,10.162,29.726,"70.274
"
hind,right,2015xii28,164,0476,F,23.41439956031877,17.041,27.22,"72.78
"
hind,right,2015xii28,164,0477,F,25.513200702501937,17.723,30.534,"69.46600000000001
"
hind,right,2015xii28,164,0482,F,8.543863715378375,5.898,30.968,"69.032
"
hind,right,2015xii28,164,0484,M,10.852931644285373,7.702,29.033,"70.967
"
hind,right,2015xii30,164,0497,M,33.29864724245578,23.36,29.847,"70.15299999999999
"
hind,right,2016i1,164,0501,M,19.47334653686295,13.962,28.302,"71.69800000000001
"
